method,epsilon,gamma,best_final_dual_l2_rel,n_points,runtime_sec,tail_rel_drop_last12pct
flow_sinkhorn_sparse,0.0001,0.0001,0.7853190631760245,2201,43.189369458006695,0.022914768179827193
flow_sinkhorn_sparse,0.001245730939615518,0.001245730939615518,0.7859070572600426,2201,44.23176600004081,0.0228360543503164
flow_sinkhorn_sparse,0.015518455739153596,0.015518455739153596,0.7925251924796707,2201,42.99233108299086,0.022036066690423725
flow_sinkhorn_sparse,0.19331820449317616,0.19331820449317616,0.8134011382165989,2201,43.22302837501047,0.02069352011452763
flow_sinkhorn_sparse,2.408224685280692,2.408224685280692,0.7473910873876626,2201,43.10817466699518,0.034500111673023734
flow_sinkhorn_sparse,30.0,30.0,0.6809635479389108,2201,41.767103416030295,0.0
vanilla_sinkhorn_dense,0.0008,0.0008,0.9990041116629212,25201,44.558931834006216,0.00011946962971693584
vanilla_sinkhorn_dense,0.007552700090359219,0.007552700090359219,0.9907237064313846,25201,41.24368933402002,0.0011062066719060805
vanilla_sinkhorn_dense,0.07130409831864017,0.07130409831864017,0.9273149166724347,25201,46.28526179201435,0.008136838784658087
vanilla_sinkhorn_dense,0.67317308726772,0.67317308726772,0.7126350577373349,25201,48.78037183301058,0.0279479995961136
vanilla_sinkhorn_dense,6.355343046292877,6.355343046292877,0.9937326936539185,25201,45.47192758298479,0.0
vanilla_sinkhorn_dense,60.0,60.0,0.9997973980954985,25201,48.7515753749758,0.0
